fullname,strikerate
Krishnappa Gowtham,156.70407407407407
Jitesh Sharma,156.15208333333334
Mohammad Nabi,154.8192857142857
Carlos Brathwaite,149.89142857142858
David Wiese,149.56727272727272
Heinrich Klaasen,149.52882352941174
Usman Khawaja,148.06333333333336
Ben Cutting,147.58764705882353
Tim David,145.32458333333332
Andre Russell,145.21927083333333
